serial no,Registration Number,Date of Grant,Name Factory Address,IS NO,Product,Status,Valid Upto,Models deleted from scope,Brand,View Models
16,R-41075671,27-Oct-2017,"ChiconyPowerTechnology(Suzhou)Co.Ltd.NO.1058,JIULONGROAD,WUJIANGECONOMICANDTECHNOLOGICALDEVELOPMENTZONE,JIANGSUPROVINCE,CHINA-215200",IS13252(Part1):2010/IEC60950-1:2005,ACAdapter,Expired,26-Oct-2019,-,HP,TPN-CA09(followingmodelsincludedon14Nov2017)TPC-CA61(followingmodelsincludedon04Jan2018)TPN-CA10(followingmodelsincludedon31Jan2018)TPN-CA13
17,R-41041700,16-Jun-2016,"KempowerElectronicDongGuanLimited73ROADPUXINGWEST,SAMSUNGMANAGEMENTDISTRICT,QINGXITOWN,DONGGUANGUANGDONGCHINA-523656",IS13252(Part1):2010/IEC60950-1:2005,ACAdapter,Deferred,15-Jun-2018,-,KEMPOWER,"KA3E1200500,KA3E1201000"
18,R-41041742,16-Jun-2016,"DeltaElectronicsPower(Dongguan)Co.,Ltd.DELTAINDUSTRIALESTATE,SHIJIETOWN,DONGGUANCITY,GUANGDONGPROVINCE523308CHINA",IS13252(Part1):2010/IEC60950-1:2005,ACAdapter,Operative,15-Jun-2025,-,CISCO,"MA-PWR-90WAC(followingmodelsincludedon25Oct2016)DPS-660BBC,DPS-660BBB,DPS-660BBA,DPS-450AB-1C,DPS-450AB-1B,DPS-450AB-1A(followingmodelsincludedon03Nov2016)DPS-650AB-4D,DPS-650AB-4C,DPS-650AB-4B,DPS-650AB-4A,DPS-650AB-2D,DPS-650AB-2C,DPS-650AB-2B,DPS-500AB-29A,DPS-500AB-28A,DPS-650AB-2A(FollowingModelsincludedon26Sep2017)DPS-650AB-4E,DPS-650AB-2E"
19,R-41041513,15-Jun-2016,"DeltaElectronicsPower(Dongguan)Co.,Ltd.DELTAINDUSTRIALESTATE,SHIJIETOWN,DONGGUANCITY,GUANGDONGPROVINCE523308CHINA",IS13252(Part1):2010/IEC60950-1:2005,ACAdapter,Operative,14-Jun-2025,-,HewlettPackardEnterprise,"ADP-15HRA(followingmodelsincludedon12Jul2016)ADP-180ARB,EADP-18XBA(followingmodelsincludedon08Dec2016)HSTNS-PD40,HSTNS-PD41(followingmodelsincludedon27Dec2016)HSTNS-PD30,HSTNS-PD29,HSTNS-PD18(followingmodelsincludedon16Jan2017)HSTNS-PD44,HSTNS-PD43(followingmodelsincludedon24Jan2017)HSTNS-PD44-1,HSTNS-PD14(followingmodelsincludedon27Jan2017)HSTNS-PD41-1(followingmodelsincludedon13Feb2017)HSTNS-PD40-1(followingmodelsincludedon09Mar2017)HSTNS-PD28(followingmodelsincludedon09Mar2017)HSTNS-PD52,HSTNS-PD16(followingmodelsincludedon24Mar2017)HSTNS-PD60(followingmodelsincludedon11Nov2019)ADP-50GRBD(followingmodelsincludedon02Jun2020)ADH-18BWB(followingmodelsincludedon16Jun2020)DPS-550AB-22H,DPS-550AB-48A(followingmodelsincludedon20July2020)ADH-30CRBB"
20,R-41012297,13-Feb-2015,"SHENZHENNJRCTECHNOLOGYCO.LTD.1&2BLOCK,21ZHONGTAIROAD,2NDINDUSTRIALZONE,LOUCUNCOMMUNITY,GONGMING,GUANGMINGNEWDISTRICT,SHENZHEN,CHINA",IS616:2010,ACADAPTER,Expired,12-Feb-2019,,SONY,"ACDP-120N03,ACDP-100N01(followingmodelsincludedon05Aug2015)AD-UES1230(followingmodelsincludedon02Sep2015)MPA-AC2"
21,R-41012440,27-Feb-2015,"PTSANKENINDONESIAMM2100BLOCKGG-8,CIKARANGBARAT,BEKASI,WESTJAVA,INDONESIA17520",IS616:2010,ACADAPTER,Expired,26-Feb-2019,,SONY,"ACDP-085S01,ACDP-085S02,ACDP-060S01,ACDP-045S02,ACDP-060S02,ACDP-045S01(followingmodelsincludedon29OCT2015)ACDP-045S03ACDP-060S03ACDP-085S03ACDP-100S01(followingmodelsincludeon18Nov2016)ACDP-085S04"
22,R-41017337,20-Jul-2015,"TAMURAELECTRONICS(SHENZHEN)CO.,LTD.3014,BANXUEGANG,STREET,BANTIANCOMMUNITY,BANTIANSUBDISTRICT,LONGGANGDISTRICT,SHENZHENCITY,CHINA",IS13252(Part1):2010/IEC60950-1:2005,ACADAPTER,Expired,19-Jul-2017,,PANASONIC,"CF-AA1633AP8,CF-AA1633AP7,CF-AA1633AP9,CF-AA1633APA,CF-AA1633APB,CF-AA1633APC,CF-AA1633APDCF-AA1633APE,CF-AA1633APF,CF-AA1633APG"
23,R-41011924,14-Jan-2015,"SHIHEN(THAILAND)CO.,LTDNO.527MOO2,UDOMSORAYUTROAD,TAMBOLKLONGJIG,AMPHURBANGPA-INPHRANAKORNSRIAYUTTHAYA,THAILAND13160",IS13252(Part1):2010/IEC60950-1:2005,ACADAPTER,Operative,13-Jan-2024,,CANON,"K30359(followingmodelsincludedon29May2015)MG1-5042,MG1-5043,MG1-5039,MG1-5040"
24,R-41012459,27-Feb-2015,"SHINTECHENGINEERING,LTDDENGWULOUINDUSTRIALDISTRICT,QIAOTOUTOWN,DONGGUANGUANGDONG,CHINA",IS616:2010,ACADAPTER,Expired,26-Feb-2019,,SONY,"ACDP-085E02,ACDP-085E03,ACDP-060E02(followingmodelsincludedon03Mar2015)ACDP-120E03(followingmodelsincludedon01jun2015)AC-UB10C,BC-VW1(followingmodelsincludedon08Oct2015)AC-UUE12(followingmodelsincludedon06Jan2016)F05L5-050100SPAI(followingmodelsincludedon09Feb2016)AC-PW10AM,AC-PW20A,ACDP-240E01(followingmodelsincludedon17May2016)ACDP-160E01(followingmodelsincludedon17Aug2016)BC-QM1,BC-VM10A(followingmodelsincludedon19Sep2016)BC-U1(followingmodelsincludedon22Sep2016)BC-TRW,BC-TRV"
25,R-41027995,29-Dec-2015,"APDShenzhenDKInc.1-5/F,NO.1,FENGWEISTREETDAKANGCOMMUNITY,HENGGANGSUBDISTRICT,LONGGANGDISTRICTSHENZHEN,P.R.CHINA",IS616:2010,ACADAPTER,Expired,28-Dec-2017,-,ADP,"WB-18D12R,WB-18D12FI(followingmodelsincludedon8Mar2016)WA-12M12R,WA-12M12FI"
26,R-41019097,22-Aug-2015,"SHENZHENBAIJUNDAELECTRONICCO.,LTDF/2,BUILDINGC,KESHANGMEIINDUSTRIALPARK,CHONGQINGROAD.,HIGH-TECHAREA,HEPINGVILLAGE,FUYONGTOWN,BAO?ANDISTRICT,SHENZHEN,GD.P.RCHINA",IS13252(Part1):2010/IEC60950-1:2005,ACADAPTERFORITEQUIPMENTS,Expired,21-Aug-2017,,LAVA,"UT-096I-UB80-Y,UT-096I-UB81-Y"
27,R-41022497,22-Sep-2015,"CHANNELWELLTECHNOLOGYCO.,LTDBLDB,EASTERNHI-TECHINDUSTRIALBASEZENGJIANGSTREET,ZENGCHENG,GUANGZHOU",IS13252(Part1):2010/IEC60950-1:2005,ACADAPTER(PowerAdaptersForITEquipments),Expired,21-Sep-2017,,POWERSOLVE,PSG60-24-04ES
28,R-41075744,27-Oct-2017,"ShenzhenAnthyElectronicsCo.,Ltd.4/F,BUILDINGE,LIANCHUANGINDUSTRYPARK,TANGQIANVILLAGE,ZHANGGE,GUANLAN,LONGHUANEWDISTRICT,SHENZHEN,CHINA",IS13252(Part1):2010/IEC60950-1:2005,ACADAPTER(PowerAdaptorforITEquipments),Expired,26-Oct-2019,-,GTBSOLUTIONS,"G65DL1957450,G65H1854817B,G65H1857450,G65H1954530,G65L0205525,G65L0207955,G65LO20USB,G65TO195525,G60SA195530,G65AC195517"
